time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/std,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward,curriculum/shake_force
854,46,733.79,731.09179361,220,188416,8.7712e-05,3.172883007209748e-05,450,0.005523936823010445,0.10546875,0.31874147057533264,0.08771200000000001,-0.2739783555269241,0.6647785305976868,0.011087477444380055,0.0010984681,,,
864,47,723.83,721.1645712299999,222,192512,8.743893333333333e-05,-0.00014880579255986958,460,0.005393087398260832,0.0953857421875,0.3195275664329529,0.08743893333333334,-0.2766598556190729,0.7002144455909729,0.014265034437994473,0.0023560214,,,
874,48,728.61,725.8824018399999,224,196608,8.716586666666668e-05,-0.0010551154948188924,470,-0.005770442076027393,0.073095703125,0.32101190090179443,0.08716586666666667,-0.28002069257199763,0.9093866348266602,0.0021062762731162365,0.001550015,,,
,,,,,200000,8.689280000000001e-05,-0.001035973739635665,480,0.0019014389254152775,0.1135009765625,0.32165637612342834,0.0868928,-0.2838559027761221,0.8124039173126221,0.010713367444259348,0.00202546,683.4,680.5259063,
920,49,725.57,722.89083424,218,200704,,,,,,,,,,,,,,0.0375
929,50,723.68,720.9742661600001,220,204800,8.661973333333334e-05,-0.0019077486329479143,490,-0.0004296862753108144,0.08642578125,0.32096460461616516,0.08661973333333334,-0.2837484426796436,0.9122395515441895,0.005441741131653544,0.0016963312,,,
939,51,713.83,711.2138265899999,222,208896,8.634666666666667e-05,-0.001105716751771979,500,-0.0008844181429594755,0.0505615234375,0.32109367847442627,0.08634666666666667,-0.2826189983636141,0.9847120642662048,0.00030565490160370243,0.0008950132,,,
949,52,722.01,719.3842109100001,224,212992,8.60736e-05,-0.0009857848985120655,510,-0.001090031466446817,0.036669921875,0.3196064829826355,0.0860736,-0.2810381636023521,0.9739341735839844,0.0005686876520485384,0.00078911777,,,
958,53,731.76,729.2194670000001,226,217088,8.580053333333333e-05,-0.0007248272449942306,520,-0.0027695512399077415,0.0703125,0.3201657831668854,0.08580053333333333,-0.2787798799574375,0.9443151354789734,0.001444304737378843,0.00095245795,,,
,,,,,220000,8.552746666666666e-05,-0.0005364218108297791,530,-0.001101483590900898,0.1120849609375,0.3197764754295349,0.08552746666666666,-0.27970074452459814,0.8688373565673828,0.0017279913765378297,0.0015948026,803.6,801.0870021,
1011,54,731.72,729.1966008400002,218,221184,,,,,,,,,,,,,,0.0375
1020,55,731.06,728.5033598899998,220,225280,8.52544e-05,-0.002737048368726391,540,0.0003310177125968039,0.0719482421875,0.3197457492351532,0.08525440000000001,-0.27852967046201227,0.9727424383163452,0.0005103924047944019,0.0009946227,,,
1030,56,740.0,737.4351232100001,222,229376,8.498133333333334e-05,-0.0017982035904424265,550,0.0013276925310492516,0.0758056640625,0.32116374373435974,0.08498133333333334,-0.28109566047787665,0.8376399874687195,0.007890782399044838,0.0019851977,,,
1039,57,741.48,738.9626121099999,224,233472,8.470826666666667e-05,-0.0009153995692031458,560,0.0034886207431554794,0.1209228515625,0.322746217250824,0.08470826666666667,-0.28519440032541754,0.8229601383209229,0.01349486285216699,0.0021572607,,,
1049,58,768.94,766.38692193,226,237568,8.44352e-05,-0.0025789852610614617,570,-0.002444070065394044,0.072412109375,0.32288017868995667,0.0844352,-0.28849576190114024,0.9765357971191406,0.0005262493923510192,0.0007704882,,,
,,,,,240000,8.416213333333335e-05,0.0003383768373169005,580,-3.52704300894402e-05,0.0883544921875,0.3218953609466553,0.08416213333333333,-0.2872040767222643,0.19715368747711182,0.00023343508546531667,0.0015506973,706.3,703.9266898,
1097,59,749.51,747.06300919,220,241664,,,,,,,,,,,,,,0.0375
1107,60,759.33,756.8960598899997,221,245760,8.388906666666668e-05,-0.000842374240164645,590,-0.002028007060289383,0.146337890625,0.32210105657577515,0.08388906666666668,-0.28568027205765245,0.8508802652359009,0.017402424913598225,0.0024499386,,,
1117,61,749.56,747.1260920500001,223,249856,8.361600000000001e-05,0.0002698518743272871,600,-0.0037653243634849787,0.0689453125,0.3211190700531006,0.08361600000000001,-0.28466243073344233,0.3181668519973755,0.0031505131286394318,0.0013815714,,,
1127,62,749.55,747.1816323099999,225,253952,8.334293333333334e-05,-0.0005390222650021315,610,0.0018675228348001838,0.1089111328125,0.32086706161499023,0.08334293333333334,-0.28255561664700507,0.8744738101959229,0.0015646121817553648,0.0017768005,,,
1137,63,754.98,752.74293184,226,258048,8.306986666666667e-05,-0.001484846242237836,620,-0.0015439928974956274,0.047802734375,0.32054656744003296,0.08306986666666667,-0.2819587878882885,0.9731271862983704,0.00045639049712917765,0.00070148736,,,
,,,,,260000,8.27968e-05,-0.0014634171573561616,630,-0.004792315419763327,0.0560302734375,0.3196311593055725,0.0827968,-0.2799550756812096,0.9079254865646362,0.001157243659690721,0.0010205877,786.7,784.8028372,
1191,64,738.46,736.2852948400001,219,262144,,,,,,,,,,,,,,0.0375
1201,65,722.77,720.63137181,221,266240,8.252373333333334e-05,-0.0022671873462968505,640,4.875712329521775e-05,0.0885986328125,0.3199436366558075,0.08252373333333335,-0.2786817505955696,0.8224194049835205,0.003589254428516142,0.0013026891,,,
1211,66,727.76,725.6751452000001,223,270336,8.225066666666668e-05,-0.0019282768946141005,650,0.012240700423717499,0.1130126953125,0.3214803636074066,0.08225066666666668,-0.2813617501407862,0.8419027924537659,0.026219249912537636,0.0015307763,,,
1221,67,747.08,744.9688619699998,224,274432,8.19776e-05,-0.0014616183456382715,660,-0.0035130425821989775,0.062744140625,0.3211022913455963,0.08197760000000001,-0.28375265635550023,0.9650538563728333,0.0006717539923556615,0.000933069,,,
1231,68,737.47,735.41614384,226,278528,8.170453333333335e-05,-0.0007628408231539652,670,-0.0037670161109417677,0.06279296875,0.3208334445953369,0.08170453333333334,-0.2825235813856125,-0.6045888662338257,0.0001821586451114854,0.0010359272,,,
,,,,,280000,8.143146666666667e-05,-0.002328060465515591,680,0.0005473466590046883,0.0889404296875,0.32090288400650024,0.08143146666666667,-0.2820859655737877,0.8302934169769287,0.006985023706511129,0.0018826383,412.0,410.1284557,
1263,69,737.47,735.4077991900001,223,282624,,,,,,,,,,,,,,0.0375
1273,70,757.14,755.09066305,225,286720,8.11584e-05,-0.0009687767858849838,690,0.000833551399409771,0.0611328125,0.31977322697639465,0.0811584,-0.28068420961499213,-2.431161403656006,0.00014982189522925183,0.0006843518,,,
