time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length,curriculum/shake_force
,,120000,,,0.08020266666666667,,8.020266666666667e-05,-1.157381969690323,0.024267578125,0.0004497310146689415,0.0022158250452775975,0.7697943449020386,0.000742857,0.5419995188713074,-0.0010162678707274608,580,994.9674847,1000.0,
59,375,120832,321,992.6913725900002,,996.7,,,,,,,,,,,,,0.762939453125
60,378,122880,324,981.46484056,0.07986133333333334,985.55,7.986133333333335e-05,-1.157472515106201,0.03984375,0.006600936874747276,0.019626144703943284,0.7695842981338501,0.00090798514,0.501012921333313,-0.001759437148575671,590,,,
61,381,124928,327,981.2310991500001,0.07952000000000001,985.55,7.952e-05,-1.1579087540507316,0.0392578125,0.017158661037683487,0.054967727465555075,0.7713703513145447,0.0006050797,0.4920165538787842,-0.0015035044838441537,600,,,
62,384,126976,329,979.8923404100001,0.07917866666666667,984.27,7.917866666666667e-05,-1.1573130205273627,0.017724609375,0.0015463000163435936,0.007761780481087044,0.7675909996032715,0.0005130316,0.8220853805541992,-0.0007336421112995595,610,,,
63,387,129024,332,979.7939555400002,0.07883733333333334,984.27,7.883733333333334e-05,-1.1532583206892013,0.01435546875,0.0007219268009066582,0.033183085219934585,0.7661203742027283,0.0005841172,0.6035841107368469,-0.0007677408721065149,620,,,
64,390,131072,335,973.1712229900003,0.07849600000000001,977.75,7.8496e-05,-1.1519653484225274,0.020361328125,0.00806144718080759,0.030534441012423485,0.7647577524185181,0.00045914485,0.5237542986869812,-0.0019500545262417291,630,,,
65,393,133120,337,973.0188341,0.07815466666666666,977.75,7.815466666666667e-05,-1.1502919718623161,0.01484375,0.019943363964557648,0.03657918074168265,0.7643563747406006,0.00036850688,0.6334456205368042,-0.0010975614015478641,640,,,
66,396,135168,340,968.4754189499998,0.07781333333333335,973.16,7.781333333333334e-05,-1.1499166205525397,0.031201171875,-0.00031834584660828114,0.002225291740614921,0.7638148665428162,0.0004611277,0.7298593521118164,-0.001299855692195706,650,,,
67,399,137216,343,968.4375103499999,0.077472,973.16,7.7472e-05,-1.1496093451976777,0.0146484375,0.0337015762925148,0.041652560629881916,0.7641022801399231,0.0005293727,0.2179199457168579,-0.00022107312106527387,660,,,
68,403,139264,345,963.0555237799999,0.07713066666666668,967.88,7.713066666666667e-05,-1.1493215322494508,0.021826171875,0.00043465965427458286,0.004917274095350877,0.7631642818450928,0.0004329324,0.7806281447410583,-0.001158221933292225,670,,,
,,140000,,,0.07678933333333333,,7.678933333333333e-05,-1.1478517830371857,0.012744140625,0.010411147959530354,0.033970967028290035,0.7619611024856567,0.00016904311,0.6578962802886963,-0.0006908528797794133,680,838.2921551000002,844.8,
69,381,141312,370,957.36817373,,962.26,,,,,,,,,,,,,0.95367431640625
70,384,143360,373,952.57501683,0.07644800000000002,957.55,7.644800000000001e-05,-1.1461424291133882,0.030029296875,0.015552757307887077,0.031062942265998573,0.7604634761810303,0.00053948135,0.7535808086395264,-0.0017363514576572924,690,,,
71,386,145408,375,952.57501683,0.07610666666666667,957.55,7.610666666666667e-05,-1.145891582965851,0.01474609375,0.004341174382716417,0.015300518611911684,0.7617670893669128,0.0004783618,0.7978114485740662,-0.0011764016962843016,700,,,
72,389,147456,378,952.37379891,0.07576533333333334,957.55,7.576533333333334e-05,-1.1475110054016113,0.02255859375,-0.005558168049901724,0.0048011962164309805,0.7625070214271545,0.00057081564,0.20535403490066528,-0.0019230198129662312,710,,,
73,392,149504,380,952.37379891,0.075424,957.55,7.5424e-05,-1.1473568767309188,0.039599609375,0.0037412545643746853,0.00779482240031939,0.7616124749183655,0.0005877762,0.8763260245323181,-0.0013282006344525143,720,,,
74,395,151552,383,949.49367167,0.07508266666666667,954.77,7.508266666666667e-05,-1.1467422053217888,0.047216796875,0.0025067455135285854,0.008429263517609798,0.7618964314460754,0.0008738751,0.8646115064620972,-0.0011656199669232592,730,,,
75,397,153600,386,949.50934079,0.07474133333333333,954.77,7.474133333333333e-05,-1.148605440557003,0.0087890625,0.005882019177079201,0.016193532408215104,0.7646113038063049,0.00021147853,0.9008588790893555,-0.0005134520761203021,740,,,
76,400,155648,388,935.7998762700001,0.07440000000000001,941.23,7.44e-05,-1.150411430001259,0.009814453125,0.0034879622980952263,0.004837052973743994,0.7638413310050964,0.00022535864,0.6882136464118958,-0.0010305504983989522,750,,,
77,402,157696,391,925.8324760300001,0.07405866666666668,931.31,7.405866666666667e-05,-1.1507729098200798,0.024462890625,0.016037188470363617,0.040316409070510414,0.7663436532020569,0.0003109552,0.8022104501724243,-0.001547000982100144,760,,,
78,405,159744,394,918.0860035400001,0.07371733333333334,923.58,7.371733333333333e-05,-1.1550268039107323,0.020361328125,0.01155797392129898,0.023607781319878996,0.7696936130523682,0.00047090612,0.9061865210533142,-0.0010455595329403877,770,,,
,,160000,,,0.073376,,7.3376e-05,-1.1571049228310586,0.013671875,0.011218753643333912,0.017844419303582982,0.7691048383712769,0.0005347973,0.8938701152801514,-0.001083203114103526,780,992.868152,1000.0,
79,381,161792,423,918.6541499799999,,924.1,,,,,,,,,,,,,0.95367431640625
