time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/std,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length,curriculum/start_tilt
143360,311,70,460,525.35,464.07386233,0.0026969323,690,-0.24290226846933366,-0.005213650545920245,6.231682596080645e-05,0.00027880319999999995,0.3063969016075134,0.0038433594163507223,0.025439453125,0.1858688,0.9999052882194519,,,
145408,313,71,464,534.67,474.11644517,0.003333787,700,-0.22046806961297988,-0.006770377795328386,4.2331079907853566e-05,0.000278496,0.29664433002471924,-0.007171343080699444,0.009521484375,0.18566400000000002,-0.14814269542694092,,,
147456,314,72,468,525.3,465.93391427,0.0011657014,710,-0.1902548536658287,-0.004697884852066636,7.301959190044726e-05,0.00027818879999999996,0.28895097970962524,-0.006449338048696518,0.00830078125,0.18545920000000002,-2.7640719413757324,,,
149504,316,73,472,525.27,467.3636508599999,0.0015572212,720,-0.1725638374686241,-0.003161833030753769,8.981401647361054e-05,0.0002778816,0.28665319085121155,-0.015979550778865814,0.01240234375,0.1852544,0.9996989965438843,,,
151552,318,74,476,525.27,467.3636508599999,0.0027254536,730,-0.16450680196285247,-0.0023000225141004194,0.000199333566979476,0.00027757439999999997,0.2837314009666443,-0.0030071090441197157,0.02197265625,0.1850496,0.9996994733810425,,,
153600,319,75,480,515.9,459.98857904,0.0043883817,740,-0.15012513101100922,-0.006233111897017807,3.965210680689779e-05,0.0002772672,0.2784533202648163,-0.002507628872990608,0.04228515625,0.18484480000000003,-0.46164417266845703,,,
155648,321,76,484,515.9,459.98857904,0.0041538165,750,-0.13478244990110397,-0.004082133556948975,0.00016416180656051438,0.00027696,0.27565643191337585,-0.005592224188148975,0.03642578125,0.18464000000000003,0.9997004866600037,,,
157696,322,77,488,515.96,461.6738472699999,0.0010686206,760,-0.11798073947429658,-0.003988051967462524,3.493944905130775e-05,0.00027665279999999995,0.2683655023574829,-0.005772107746452093,0.003857421875,0.18443520000000002,-0.2927032709121704,,,
159744,324,78,492,515.96,461.6738472699999,0.0026236665,770,-0.09509879350662231,-0.0042451989284018055,5.772907056780241e-05,0.0002763456,0.26397639513015747,-0.00958932749927044,0.01865234375,0.18423040000000002,0.9996464252471924,,,
160000,,,,,,0.0014584445,780,-0.0723959118127823,-0.004433079063892365,2.3445364490726206e-05,0.0002760384,0.2563879191875458,-0.012162153609097004,0.005029296875,0.1840256,-0.1541428565979004,999.3953862000001,1000.0,
161792,309,79,523,525.35,472.50581982999995,,,,,,,,,,,,,,0.11565303828124994
163840,310,80,527,525.35,472.50581982999995,0.0037195005,790,-0.050480975210666655,-0.00806266140716616,0.0001918149870562047,0.0002757312,0.25270289182662964,-0.000700372620485723,0.0369140625,0.1838208,0.9994917511940002,,,
165888,312,81,531,534.63,483.33471516000003,0.0051632156,800,-0.03309528976678848,-0.0076595016056671735,3.5240750321463565e-05,0.00027542399999999997,0.24750281870365143,-0.004935814533382654,0.047119140625,0.183616,-0.24461066722869873,,,
167936,313,82,535,534.63,483.33471516000003,0.0018009865,810,-0.014940135180950165,-0.002361610531806946,0.000104489619980086,0.00027511679999999995,0.24379906058311462,-0.008764367550611496,0.020556640625,0.1834112,0.9995077252388,,,
169984,315,83,539,553.18,503.3728430499999,0.0037837345,820,0.0030880212783813477,-0.007129002804867923,2.75572216423825e-05,0.0002748096,0.23843026161193848,-0.011907728388905525,0.045458984375,0.1832064,-0.5160948038101196,,,
172032,316,84,543,543.85,493.92179933999995,0.005528553,830,0.01894470155239105,-0.006491659910534508,0.00038504753283632456,0.0002745024,0.23667661845684052,-0.011128387413918972,0.0708984375,0.18300160000000001,0.9991428256034851,,,
174080,318,85,546,553.12,504.55724403,0.0059844386,840,0.030054371058940887,-0.005677417176775635,0.00023069900498740026,0.0002741952,0.23278263211250305,-0.003848424879834056,0.069775390625,0.1827968,0.9835793972015381,,,
176128,319,86,550,543.81,495.11940340999996,0.008015734,850,0.04150274395942688,-0.01109813555231085,0.00013606171373794495,0.00027388799999999996,0.23173342645168304,-0.025046704337000847,0.110888671875,0.182592,0.999459981918335,,,
178176,321,87,553,571.74,524.3911489499999,0.0076999674,860,0.04736889600753784,-0.00998142603202723,8.717539737972402e-05,0.0002735808,0.22968026995658875,-0.014684410765767097,0.117626953125,0.1823872,0.9994892477989197,,,
180000,,,,,,0.0025962708,870,0.05714846700429917,-0.005254108566441573,9.56026698986534e-05,0.00027327359999999997,0.22730039060115814,-0.00875235628336668,0.0384765625,0.1821824,0.9994384050369263,998.6802262000001,1000.0,
180224,306,88,587,534.43,486.84835713000007,,,,,,,,,,,,,,0.13300099402343743
182272,307,89,592,534.37,487.6433034100001,0.0062137228,880,0.06556400954723358,-0.0068123750752420165,0.00018893775068136166,0.0002729664,0.22599199414253235,-0.01627063751220703,0.049951171875,0.18197760000000002,0.999742329120636,,,
184320,308,90,596,534.34,487.8485950600001,0.0023705831,890,0.07012081295251846,-0.0015428434329805897,0.000618499385927862,0.0002726592,0.2252766191959381,-0.005257875192910433,0.0419921875,0.1817728,0.9989011287689209,,,
186368,310,91,601,552.91,507.5361979500001,0.008770897,900,0.07467843294143676,-0.012468678934965283,7.938416761135158e-05,0.00027235199999999996,0.22361290454864502,-0.012634269893169403,0.127880859375,0.181568,0.9998059868812561,,,
188416,311,92,605,562.21,517.2813987500001,0.0063759186,910,0.08308860063552856,-0.00899007492698729,8.900416423784918e-05,0.0002720448,0.22158369421958923,-0.007548856548964977,0.096923828125,0.1813632,0.9995008111000061,,,
190464,312,93,609,562.19,517.94197426,0.0044382736,920,0.09631615430116654,-0.008937372648506425,2.750762878349633e-05,0.00027173759999999996,0.21756921708583832,-0.017571771517395973,0.0662109375,0.18115840000000002,0.9998793005943298,,,
